Customer_ID,Name,Age,Gender,City,Income
CUST100000,Saira Barad,25.0,Male,Surat,174024.38
CUST100001,Neysa Gaba,,Male,Vadodara,133758.49
CUST100002,Kartik Bhattacharyya,53.0,Other,Vadodara,120564.13
CUST100003,Miraan Doctor,69.0,Male,Delhi,80299.77
CUST100004,Samaira Vyas,66.0,Female,Delhi,156875.62
CUST100005,Samarth Sachdev,64.0,Female,Mumbai,
CUST100006,Seher Ganesan,,Male,Vadodara,196671.06
CUST100007,Armaan Chander,32.0,Female,Delhi,53223.71
CUST100008,Akarsh Kohli,31.0,Other,Hyderabad,164219.9
CUST100009,Emir Bains,64.0,Female,Pune,66609.57
CUST100010,Myra Virk,67.0,Male,Bangalore,77919.11
CUST100011,Bhavin Barad,54.0,Female,Chennai,48574.82
CUST100012,Purab Sandal,33.0,Other,Hyderabad,108859.12
CUST100013,Aradhya Dey,26.0,Male,Rajkot,162449.82
CUST100014,Aniruddh Bobal,56.0,Other,Pune,74082.32
CUST100015,Sara Bail,18.0,Other,Delhi,41214.76
CUST100016,Jhanvi Upadhyay,28.0,Other,Rajkot,134305.19
CUST100017,Mamooty Desai,58.0,Other,Rajkot,102869.76
CUST100018,Renee Koshy,52.0,Other,Ahmedabad,41288.92
CUST100019,Damini Kadakia,69.0,Male,Surat,35128.56
CUST100020,Jayant Soni,70.0,Other,Rajkot,170041.44
CUST100021,Hansh Choudhary,28.0,Other,Vadodara,233294.67
CUST100022,Ivan Shere,63.0,Other,Chennai,226409.31
CUST100023,Inaaya  Acharya,25.0,Female,Pune,69076.96
CUST100024,Shanaya Krishnan,18.0,Male,Ahmedabad,217014.32
CUST100025,Samiha Shanker,50.0,Female,Rajkot,
CUST100026,Ryan Kunda,54.0,Female,Vadodara,37166.56
CUST100027,Faiyaz Yadav,40.0,Other,Surat,29243.98
CUST100028,Ranbir Keer,69.0,Male,Rajkot,114142.19
CUST100029,Vardaniya Kapur,47.0,Male,Pune,38008.55
CUST100030,Sara Basak,18.0,Male,Chennai,128119.23
CUST100031,Krish Devi,21.0,Female,Chennai,82033.57
CUST100032,Mohanlal Kade,60.0,Female,Ahmedabad,151107.37
CUST100033,Prerak Dass,21.0,Other,Pune,51996.69
CUST100034,Aayush Raj,23.0,Male,Vadodara,
CUST100035,Chirag Lalla,,Other,Hyderabad,147828.33
CUST100036,Divit Gala,34.0,Female,Bangalore,45756.4
CUST100037,Jayant Zacharia,47.0,Male,Hyderabad,249636.79
CUST100038,Emir Rege,22.0,Female,Delhi,222003.08
CUST100039,Aradhya Bala,41.0,Other,Hyderabad,246205.53
CUST100040,Diya Wagle,18.0,Other,Rajkot,77149.49
CUST100041,Tiya Dugal,65.0,Female,Delhi,62845.37
CUST100042,Lakshay Lad,50.0,Male,Bangalore,209896.8
CUST100043,Mishti Sidhu,18.0,Other,Rajkot,189189.26
CUST100044,Tarini Hora,63.0,Male,Rajkot,143213.72
CUST100045,Badal Shankar,55.0,Male,Delhi,226260.65
CUST100046,Nayantara Bala,40.0,Other,Pune,222771.65
CUST100047,Shayak Sur,57.0,Male,Rajkot,222132.81
CUST100048,Veer Raval,29.0,Female,Vadodara,77699.34
CUST100049,Akarsh Sur,42.0,Male,Chennai,97169.73
CUST100050,Bhavin Kunda,32.0,Female,Surat,242218.94
CUST100051,Badal Ganguly,40.0,Other,Ahmedabad,42105.31
CUST100052,Nitya Agate,,Female,Hyderabad,117122.48
CUST100053,Lavanya Borra,,Male,Hyderabad,59668.51
CUST100054,Nirvaan Dar,63.0,Female,Surat,237985.5
CUST100055,Madhup Savant,57.0,Male,Mumbai,134173.79
CUST100056,Amani Mann,38.0,Other,Bangalore,171258.42
CUST100057,Farhan Badami,61.0,Female,Ahmedabad,86410.61
